time_hour,previous_incidents,crowd_level,weather_risk,tourist_density,zone_risk,risk_score,risk_label
5,5,Low,Low,Medium,Low,49.04430147789528,Medium
18,3,Low,Low,Medium,Low,35.169842800862234,Medium
1,1,Medium,Medium,High,Low,42.47992309385324,Medium
14,2,Low,Medium,Low,Medium,42.29295893941124,Medium
10,3,High,Low,High,Low,11.83285797301598,Low
7,3,Medium,High,High,Medium,57.40241700008168,Medium
18,3,Medium,Low,Medium,High,52.33770411712774,Medium
12,3,Low,Low,Medium,Low,43.1475113765956,Medium
11,2,Low,Medium,Medium,Low,30.784675639970803,Medium
4,3,Medium,Medium,Medium,Low,41.81717708404061,Medium
5,5,Medium,High,Medium,Low,60.66617232337112,Medium
21,0,High,High,Medium,Low,34.81758042358806,Medium
3,1,Low,Low,Low,Medium,59.66282600857807,Medium
18,3,Medium,High,Medium,Low,44.51766152168748,Medium
19,1,Low,High,High,Medium,69.71222902632385,Medium
0,0,Medium,Low,Low,Low,22.367279342647674,Low
19,1,Medium,High,High,Low,35.254334627516585,Medium
16,3,Low,Low,Low,Low,22.10383971300629,Low
11,3,Medium,Medium,Medium,Low,26.387309135647097,Low
14,3,Low,Low,Medium,Low,35.80412908564256,Medium
0,2,Medium,Low,Low,Medium,51.517335818439946,Medium
13,2,Medium,Medium,High,Medium,32.204584589783764,Medium
5,2,Low,Low,Medium,Low,39.92099562798631,Medium
4,3,High,Medium,Low,Medium,68.33617912906918,Medium
10,2,Medium,Medium,Medium,Low,14.531676256057143,Low
3,1,High,Low,Medium,Low,33.29841712432165,Medium
12,2,Low,Low,High,High,47.33391978707786,Medium
10,3,High,Medium,Medium,High,49.74548005052044,Medium
2,1,Low,Medium,Low,High,71.29771445394405,High
0,3,Medium,Medium,Low,Low,55.107987477444674,Medium
5,1,High,Medium,Medium,High,64.98751986351556,Medium
17,1,Low,Medium,Medium,Medium,49.37268880278384,Medium
23,0,Low,Low,High,Medium,64.16951301151451,Medium
9,1,High,Low,Medium,High,29.41156829254468,Low
4,1,Medium,High,High,High,88.4972970784054,High
22,0,Medium,Medium,High,Medium,57.43702028049259,Medium
9,0,Low,Low,Medium,High,36.94725649267336,Medium
11,1,Medium,Low,Low,Low,12.456191887461202,Low
1,1,Low,Low,Low,Medium,58.60242930011593,Medium
12,2,High,Medium,Low,Low,13.68706371984796,Low
7,0,Medium,Low,Medium,High,38.92743965519756,Medium
1,2,Medium,Medium,Low,Medium,60.88769102625248,Medium
19,0,Low,Low,Low,High,59.207191418315475,Medium
0,2,High,Low,Low,Low,43.32814138286358,Medium
4,4,Medium,High,Low,Medium,78.32513148525067,High
8,0,High,Low,Medium,Low,0.0,Low
16,1,Low,High,Low,Medium,44.055357844339476,Medium
8,3,High,Low,Medium,Medium,32.10437761652498,Medium
10,3,Medium,Low,Low,Low,26.105968261614304,Low
14,0,Low,Low,High,Low,11.634356056808969,Low
23,1,Medium,Medium,Low,Medium,45.77745428703215,Medium
5,3,Low,Medium,High,Low,57.415752220339435,Medium
22,1,Low,Low,Medium,Low,44.775258076695366,Medium
2,4,Low,Low,Medium,Low,64.15828662872028,Medium
16,0,Medium,Medium,Medium,Low,0.2613462472645658,Low
4,2,Medium,Low,Medium,High,80.24781648624179,High
11,0,Medium,Low,Low,High,31.231844619240178,Medium
17,1,Low,Low,High,Medium,53.681362676914745,Medium
13,2,High,Medium,High,Low,25.481063287974397,Low
20,0,High,Low,High,Medium,27.591403793681344,Low
23,4,Low,Low,Medium,Medium,79.5297416417861,High
10,2,Low,Low,Medium,Medium,49.87734280731151,Medium
8,2,Medium,Low,Medium,Low,11.677199630584528,Low
1,0,Medium,Medium,Medium,Low,40.506982603107524,Medium
11,2,Medium,Medium,High,Medium,45.62663498532161,Medium
2,2,Medium,Low,Medium,Low,44.56439003435398,Medium
2,0,Low,Low,High,High,67.54616892531328,Medium
0,0,High,Low,Low,Medium,38.825380097561876,Medium
7,1,Medium,Medium,Medium,Low,21.37396460437191,Low
21,3,Low,Low,High,Medium,72.40053367506468,High
7,1,Low,High,High,Low,50.63771338570594,Medium
10,4,Medium,Low,Medium,Low,30.23771606553622,Medium
8,0,Medium,Low,Low,Low,1.3749239110243017,Low
4,2,Medium,Low,Low,Low,31.23648860611099,Medium
13,3,High,Medium,Low,Low,19.819629960330225,Low
2,3,Low,Medium,Medium,Low,62.26539633696155,Medium
20,2,High,Low,Medium,Low,28.854087075627948,Low
4,0,Medium,Low,Medium,Low,30.843950187882765,Medium
4,2,Medium,Low,Medium,Medium,50.108340591292695,Medium
18,1,High,Low,Medium,Low,0.0,Low
13,3,Medium,Low,Medium,Low,37.31157374553703,Medium
3,3,Low,Low,High,Low,58.428068447112054,Medium
12,4,High,Medium,Low,Low,31.062681501917282,Medium
9,2,Medium,Low,High,High,50.13301264491924,Medium
17,1,Medium,Low,Medium,Medium,23.5039344938275,Low
7,2,High,Low,Medium,High,48.03466509703166,Medium
7,1,Medium,Low,High,Low,11.271851286051112,Low
6,1,Medium,Low,Low,Medium,31.188171208589814,Medium
7,3,Medium,Low,Low,High,56.249101600557026,Medium
13,1,Medium,Low,Low,Low,3.69179692598338,Low
18,1,Low,High,Low,Medium,38.56364016914833,Medium
5,4,High,Low,Medium,Medium,43.232942600357795,Medium
0,3,Low,Low,Low,High,86.08690662449017,High
22,3,Medium,Medium,Low,Low,46.79298311938703,Medium
14,1,High,Low,Medium,Medium,26.779468528905934,Low
0,4,Low,High,Medium,Low,79.12563247346155,High
16,2,Low,Low,Medium,High,60.57397130444933,Medium
0,2,Low,Medium,Medium,Medium,76.12292178506789,High
14,1,Medium,Medium,Medium,High,54.358668342641955,Medium
22,4,High,High,Low,High,100.0,High
1,1,Medium,Medium,Medium,Medium,61.388428700497904,Medium
13,4,Low,Low,High,Medium,60.09571429085802,Medium
20,3,Medium,Medium,Medium,Medium,63.67292350716541,Medium
7,2,Medium,Low,High,Low,16.616429526415686,Low
7,1,Low,Medium,High,Low,35.24918134326825,Medium
18,1,Medium,Low,High,Low,8.46838703859271,Low
6,1,Low,Medium,Medium,Low,35.4465545474864,Medium
18,5,High,Medium,Medium,High,64.14545419354542,Medium
5,2,Low,High,High,Low,65.61150463762101,Medium
5,0,Low,Low,Medium,Medium,40.15815107433855,Medium
2,2,High,Medium,Medium,Low,39.315946371662655,Medium
6,6,Medium,Low,Low,Low,46.55552415051755,Medium
18,0,Low,Low,Low,Low,0.11642181416256392,Low
7,3,High,Medium,Low,Low,9.773395183611125,Low
9,0,Medium,Medium,Medium,Low,10.482291734747347,Low
19,1,Low,Medium,Medium,Medium,53.38969841624828,Medium
14,1,Medium,Medium,High,Medium,43.26063902617825,Medium
14,0,High,Low,High,Medium,25.20216603182854,Low
0,3,Medium,Medium,High,Medium,73.39100353732113,High
19,2,Low,Low,High,High,70.75196092198108,High
6,2,Medium,Low,High,Medium,42.34203936138985,Medium
3,1,Medium,Low,High,Low,38.34075552598346,Medium
5,2,High,Medium,Low,Low,11.658384729198977,Low
0,3,Low,Medium,Medium,Low,62.29158371970963,Medium
4,2,Medium,Low,Medium,Low,40.515215312680084,Medium
22,0,Low,Medium,Low,Medium,53.289720268694964,Medium
0,4,Medium,Low,High,High,83.13787674841112,High
3,2,High,Medium,Low,Medium,53.20698238666537,Medium
21,2,Low,Medium,Medium,Medium,60.96106987326608,Medium
1,3,Low,Low,Low,Low,58.17696205712546,Medium
9,1,Medium,High,Medium,Low,28.558486723064703,Low
4,3,Medium,Low,Medium,High,82.28697133452904,High
9,0,Low,Medium,Medium,Low,25.436376922001983,Low
0,0,Medium,Low,Low,High,55.68826073438272,Medium
21,2,High,Low,Medium,Low,36.3892483890962,Medium
5,5,Medium,Medium,Medium,High,79.70332260939256,High
12,1,Medium,Low,High,Medium,23.521697410763153,Low
14,3,Low,High,Low,Medium,58.08434100536876,Medium
3,1,High,Low,Low,High,55.638693311385424,Medium
12,0,Low,Low,Low,Low,10.827654206469653,Low
23,4,Low,Medium,High,Low,69.27405368567788,Medium
19,1,Low,Low,Medium,Low,43.74362284276214,Medium
23,3,Medium,Low,Low,Low,40.928138295448385,Medium
14,0,High,High,Low,Low,5.217965502283998,Low
7,1,Low,Medium,High,High,63.585536954171204,Medium
4,0,High,Low,Medium,Low,30.573697930221243,Medium
14,3,High,Medium,Medium,High,64.66547087847947,Medium
3,1,Medium,High,Medium,High,66.61055883113553,Medium
11,1,High,Low,Low,Medium,20.603683924430563,Low
12,3,Low,Medium,Low,High,76.54142648106118,High
1,2,Low,Low,Medium,Medium,62.42847747863849,Medium
18,6,High,High,Low,Medium,54.61017682371246,Medium
18,4,Medium,Medium,High,Medium,49.308280793469876,Medium
3,1,Low,Medium,Medium,Medium,64.64425450405469,Medium
3,1,Medium,High,Medium,Low,44.60860754185772,Medium
10,3,High,Low,Low,Low,18.608574908581602,Low
4,2,Medium,Low,Low,Medium,51.36274229534971,Medium
19,1,Low,Low,Low,Low,9.978058485252376,Low
10,2,Medium,Low,Medium,High,42.3826021316635,Medium
9,0,High,Medium,Low,Medium,13.856049032630409,Low
7,2,Low,Medium,Medium,Low,39.132764177474286,Medium
5,4,Low,Low,Medium,Low,49.593597863521,Medium
5,3,Medium,Low,High,Low,37.43336979580607,Medium
7,2,Medium,Medium,Low,Low,23.857457416854054,Low
22,1,Low,Low,Low,Low,47.346759350224694,Medium
14,1,Low,Low,Low,High,47.60527240543941,Medium
13,0,Low,Medium,Medium,Low,18.075838712051766,Low
10,0,Low,Low,Low,Medium,15.969955842508451,Low
11,3,Low,High,Medium,Low,56.69993630990919,Medium
12,0,Medium,Low,Medium,High,54.33467435338955,Medium
7,3,Medium,Medium,Low,Medium,41.74433159875719,Medium
17,2,Medium,Medium,Low,Medium,36.89836951480419,Medium
0,0,Medium,Low,Medium,Medium,53.02513431414584,Medium
14,4,Low,Low,Low,Medium,38.723822509376596,Medium
7,0,Medium,Low,Low,Low,5.724908683135052,Low
10,2,Low,Low,Medium,Low,28.254469474599503,Low
11,2,Low,Low,Medium,Low,21.385081051698517,Low
11,3,Low,Medium,Low,Low,32.87964044411241,Medium
3,5,High,Medium,Medium,Low,54.107011761021475,Medium
15,1,Low,Medium,Low,High,60.75044985590862,Medium
3,0,High,Low,Medium,Low,17.761414466126435,Low
4,2,Low,Medium,High,Low,65.47220722557766,Medium
23,1,Medium,Low,High,High,59.241696098065304,Medium
4,3,High,High,Medium,High,96.36682392854608,High
7,5,Low,High,Medium,High,88.77079621805763,High
9,2,Low,Medium,High,Medium,59.43334644782386,Medium
16,1,High,Medium,Low,Low,7.728671748872723,Low
8,2,Medium,Low,Medium,High,42.358323021712245,Medium
21,1,Low,Low,High,Low,27.956865064970728,Low
18,1,Low,Medium,Medium,Low,34.322648281378484,Medium
13,1,High,Low,Medium,Low,2.8178330707494013,Low
7,3,High,Low,Medium,Medium,33.781756741459745,Medium
8,2,Medium,Medium,Low,Low,15.752026076433484,Low
21,1,Low,Medium,Medium,Medium,54.89782686360141,Medium
10,0,High,Low,Low,Low,0.0,Low
22,1,Low,Low,Low,Low,30.467604400828296,Medium
0,1,Medium,Low,Low,Low,26.907399733706093,Low
13,0,Medium,Medium,Medium,Low,21.450017233778333,Low
4,2,Low,Low,Low,High,72.09568027289083,High
20,1,Medium,High,Medium,High,73.41435043916627,High
13,1,High,Medium,Medium,Low,14.957875500748361,Low
3,2,High,Low,Low,High,65.06787224938778,Medium
21,2,Low,Low,Low,Medium,52.80253088049078,Medium
22,3,Low,Medium,Low,Low,61.12201837105762,Medium
0,4,Low,High,Medium,Medium,90.58572097672024,High
21,1,Low,Low,Low,High,53.530614601582656,Medium
22,2,Medium,Medium,Medium,Low,47.01563224433792,Medium
18,0,Medium,Low,Low,Low,7.5029683886801095,Low
7,2,Low,Low,Medium,Low,17.86453861849976,Low
14,2,Low,High,Medium,Low,40.130825901735705,Medium
20,2,Low,Low,Medium,Low,28.912191985045908,Low
14,2,Medium,Medium,Medium,Medium,35.507128482052295,Medium
8,0,Medium,Low,High,High,37.25461066122838,Medium
20,3,Medium,Medium,Low,Low,46.36927004808599,Medium
8,2,Medium,Medium,High,Low,37.019648439872796,Medium
9,2,Medium,High,High,Medium,40.215685967228666,Medium
19,3,Medium,Low,Low,Low,20.929472886950784,Low
20,1,Low,Low,High,High,65.00566906456638,Medium
8,0,Medium,Medium,High,High,50.56881464532267,Medium
2,3,Low,Low,High,High,81.3831520979965,High
19,0,Low,Medium,Medium,Medium,46.777442472687156,Medium
10,1,High,Medium,Medium,Low,19.21379502455885,Low
5,5,Low,Low,Low,Low,58.942224583432775,Medium
1,1,Medium,Medium,Medium,Medium,56.173650423862746,Medium
6,1,Medium,Medium,Low,High,43.99274106545902,Medium
17,5,Low,High,Low,Low,62.2950572379912,Medium
1,5,Low,Low,High,Low,67.47629239617676,Medium
16,4,Medium,Low,Low,High,57.22646575937988,Medium
10,2,Low,Low,Medium,Low,20.60434522345136,Low
11,0,Low,Low,Low,Low,10.605185284314869,Low
18,1,High,Low,Low,High,32.86043720031293,Medium
21,5,Medium,High,Medium,Low,69.70521164065947,Medium
23,3,Low,Low,Low,Low,44.55346480414643,Medium
6,0,Low,Low,High,Medium,39.71003417340725,Medium
19,1,Medium,Low,Low,Medium,42.681799275452576,Medium
5,1,Low,Low,Low,Low,29.389224891927224,Low
20,2,Low,Low,Low,Low,28.84205595114732,Low
23,4,Medium,Medium,Low,Medium,76.33795218310199,High
0,2,Low,Low,Low,Medium,56.00486066258047,Medium
16,1,Medium,Low,Medium,Low,11.17256555552208,Low
10,1,Medium,Low,Medium,Low,5.893991175679973,Low
21,3,Low,Medium,Low,Medium,70.45760049540638,High
17,2,Low,Low,Low,Medium,31.86165448934401,Medium
20,3,Medium,Low,High,Medium,37.07671168183286,Medium
16,2,Medium,High,Medium,Medium,44.308744836596475,Medium
6,1,Low,Low,Medium,Medium,42.99688849946138,Medium
16,0,Low,Medium,Medium,Low,20.534794199852147,Low
19,4,High,High,Medium,High,84.34179116396369,High
8,5,Low,Low,High,High,70.90872799724251,High
16,3,High,Medium,High,Medium,39.337049925906186,Medium
19,0,Low,High,Low,Low,37.96476753714365,Medium
21,1,Low,Low,Low,Medium,39.04332429909615,Medium
21,4,Medium,High,Medium,Medium,71.39004111441521,High
7,3,Low,Low,High,Low,39.22640848968443,Medium
16,2,Low,Low,Low,Medium,37.08137432315932,Medium
6,2,Low,Medium,Medium,Medium,67.60071777027387,Medium
0,2,High,High,Medium,High,76.3103070701495,High
12,4,Low,Medium,Medium,Low,42.528508643133726,Medium
22,1,Medium,Low,Low,Low,39.95971837367178,Medium
18,0,Medium,Medium,Low,Medium,18.59460623860114,Low
23,1,Medium,Medium,Low,High,83.70236790805832,High
18,5,Medium,Low,Low,Medium,50.797850119254264,Medium
16,4,Low,High,Low,Medium,60.06941033433911,Medium
12,1,Low,Low,Medium,Low,23.51241972525802,Low
15,4,Low,Low,High,Medium,58.77859000142176,Medium
7,5,Low,Low,Medium,High,65.27153617094086,Medium
18,0,Low,Low,Medium,Medium,38.26546903911543,Medium
17,1,Low,Medium,Medium,High,62.928232504159936,Medium
0,2,High,Low,Low,Medium,55.860151299213676,Medium
13,1,High,Medium,Low,High,45.281521641392295,Medium
18,4,Low,Low,Low,Low,36.09386940390082,Medium
14,2,Low,Low,High,Low,36.47922020545245,Medium
17,2,Low,Medium,High,Low,29.984272474727415,Low
1,3,Low,Low,Medium,Low,68.90216858740492,Medium
21,1,Low,Medium,Medium,Low,44.471042452056416,Medium
16,1,High,Medium,Medium,Medium,16.2808880795809,Low
17,0,Low,Medium,Medium,High,43.034712594795394,Medium
5,4,Low,Medium,Medium,Medium,74.7261816215287,High
18,2,Low,Medium,Medium,Low,28.662287136105146,Low
3,1,High,High,High,High,83.11955273493004,High
0,2,High,Low,Medium,Medium,45.08610502976754,Medium
7,1,Medium,Medium,Medium,Medium,25.364286636153118,Low
22,1,Medium,Low,High,High,65.75796522159608,Medium
6,0,Low,Low,Medium,High,75.61221790425256,High
2,0,Low,Low,Medium,Medium,47.43147439741862,Medium
9,2,Medium,High,Medium,High,69.54123386538369,Medium
9,2,High,Medium,High,Medium,33.45327560746963,Medium
18,7,Low,Low,Medium,Low,43.4669152340355,Medium
13,3,Low,Low,Medium,Medium,47.74805389154813,Medium
1,3,Medium,High,Low,Low,58.627369257644546,Medium
0,5,Low,Low,High,Low,73.33977976556001,High
22,3,Medium,Low,Medium,Medium,64.02889629593548,Medium
22,1,Low,High,Medium,Low,52.03754811466575,Medium
17,2,Low,Medium,High,Medium,52.206838559005014,Medium
6,0,Medium,Low,High,Medium,34.66525045333094,Medium
7,2,High,Low,High,High,48.33043916194449,Medium
0,3,Low,High,Low,Low,67.31262989546582,Medium
22,5,Low,High,Medium,High,100.0,High
2,2,Low,Low,Low,High,73.08333765613276,High
23,1,Medium,Low,Low,Medium,42.686765568098494,Medium
22,3,High,Low,High,Medium,62.87028646276078,Medium
7,0,Low,Medium,High,Low,19.828551502827615,Low
21,3,Low,Medium,Medium,High,78.61160383069503,High
14,3,High,Low,Low,Medium,25.031884394199015,Low
4,5,Medium,Medium,Low,Low,60.34820722006982,Medium
2,2,Medium,Medium,Medium,Low,49.3437186108641,Medium
18,0,Low,Medium,Low,Medium,27.65703126035414,Low
0,1,Low,High,Medium,Low,64.75314559757133,Medium
14,3,Medium,Low,Medium,Medium,35.36947326134653,Medium
7,4,Medium,Low,High,Low,34.422958513843525,Medium
1,4,Medium,Medium,Low,Medium,64.63222425902097,Medium
2,3,Low,Medium,Medium,Medium,62.851966640891334,Medium
23,1,Medium,Low,High,High,74.65821803579932,High
13,0,High,Medium,Medium,Medium,23.252554680203744,Low
23,2,High,Low,Low,Medium,50.27951269917272,Medium
13,3,Low,Low,Low,High,65.90551666760702,Medium
10,2,Medium,Low,High,Medium,29.362471074283633,Low
15,1,Medium,High,Medium,High,45.14813321921636,Medium
3,3,High,Medium,High,Low,59.86893818789119,Medium
19,1,High,Low,Low,High,46.91225243958197,Medium
4,3,High,High,High,Low,68.63594237771395,Medium
21,3,High,Medium,Medium,High,76.9508519091249,High
20,4,Low,Medium,Low,Low,46.95950269286476,Medium
13,2,Medium,Low,High,Low,25.621123781014425,Low
22,1,Medium,Low,Medium,Low,33.47840639960778,Medium
15,3,Low,Medium,High,Low,49.79783269634516,Medium
17,1,Low,Medium,High,Low,43.016002547466364,Medium
6,5,Low,Medium,Low,Medium,75.16475029794724,High
9,2,High,Medium,Medium,High,44.52638672714899,Medium
6,3,Low,Medium,Medium,Low,43.8644375014303,Medium
0,0,High,Low,Medium,Low,10.476518804208496,Low
22,1,Medium,Medium,Medium,Medium,66.71056947005327,Medium
20,4,Medium,Low,High,Low,53.0876187000152,Medium
18,1,Low,Low,Low,High,52.06875402764655,Medium
15,5,Medium,Low,Medium,Low,32.19822843390303,Medium
18,0,Medium,Medium,Low,Medium,27.724845202295874,Low
3,2,Low,High,Low,Low,64.83533361589274,Medium
17,4,High,Low,High,Low,20.035342409529125,Low
1,2,Medium,Low,Low,Medium,58.89114181332967,Medium
0,2,Low,Low,Low,Low,50.058162703677226,Medium
14,2,High,High,Low,High,57.4185003536403,Medium
4,1,Low,Medium,Medium,Medium,69.95790816645503,Medium
19,2,Medium,High,Low,High,70.80073236587111,High
10,1,Medium,High,Medium,High,58.11964742163083,Medium
9,2,Low,Low,Medium,Low,24.290953452223963,Low
1,2,Medium,Low,Low,High,70.64224412467799,High
2,0,Medium,Low,Medium,Low,40.70782409773426,Medium
22,3,Medium,Low,Low,Medium,60.7777416157499,Medium
22,2,Low,Low,Medium,Medium,72.70085785885946,High
11,0,Low,Low,Medium,Low,6.91435988220963,Low
19,3,Low,Medium,Low,Low,52.87853104332869,Medium
4,2,High,Medium,Low,Medium,58.059169595193794,Medium
4,4,Low,Low,Low,High,95.4531175373859,High
5,0,Medium,Medium,Medium,High,51.45225421766951,Medium
8,3,High,Low,Low,Medium,33.909598875825544,Medium
1,2,High,Medium,Low,Low,35.68422855791064,Medium
20,2,High,Medium,Low,High,63.831688195036705,Medium
11,3,High,Low,High,High,58.24411423664699,Medium
2,2,Low,Medium,Medium,Low,52.366208329136875,Medium
19,2,Low,Medium,Low,Low,44.18466066284462,Medium
21,1,Low,Low,Low,High,56.6800235129979,Medium
11,0,Low,Low,High,High,50.92273126310259,Medium
23,1,Medium,High,Low,Low,47.23697988775724,Medium
16,3,Low,Low,High,High,64.6544794350187,Medium
9,1,Medium,Medium,Low,Medium,25.509256572642826,Low
23,2,Low,Medium,Low,High,93.65147739538679,High
13,0,Low,Low,Medium,Low,9.549633538708225,Low
22,0,Medium,Low,Medium,Medium,40.727827436099545,Medium
16,1,Low,High,High,Low,32.46525647248659,Medium
17,1,Medium,Low,High,High,49.137031017938135,Medium
18,4,High,Medium,Medium,Low,37.22385019174554,Medium
16,2,High,Medium,Medium,High,51.356958765156264,Medium
13,3,Low,Medium,High,Low,39.379695885456,Medium
8,0,High,High,Medium,Medium,19.77377768522295,Low
7,1,Low,Medium,Low,Low,27.358586186654332,Low
1,2,Medium,Medium,Low,Low,50.39398889240709,Medium
12,2,Low,High,Low,Low,34.940762979884056,Medium
6,6,Low,High,High,Low,76.44801879114763,High
8,3,High,High,Medium,Medium,38.57078649426769,Medium
21,2,Low,Medium,Low,Low,37.25938068616017,Medium
21,2,High,Low,High,Low,29.320361726103577,Low
10,2,Low,Medium,Low,Low,29.37173855452325,Low
13,2,High,Low,Medium,Medium,27.13479619319721,Low
3,4,High,Low,High,Low,58.83410451655762,Medium
12,1,Medium,Low,Medium,Low,2.5467563456757176,Low
1,2,Medium,High,Low,Medium,69.23477552225154,Medium
22,2,Medium,Low,Medium,Medium,51.918598459685306,Medium
4,0,High,Medium,Medium,Medium,45.949414205525365,Medium
10,2,Low,Medium,Medium,Low,35.7419637860666,Medium
5,3,Medium,Low,Low,Low,22.407499208884808,Low
17,5,Low,Medium,Low,High,74.08293347962483,High
20,1,Low,Medium,Medium,High,67.51677761751023,Medium
9,0,Low,High,Medium,Medium,47.3814450161991,Medium
3,2,Medium,Low,High,Low,51.60599186889082,Medium
8,2,High,Low,Medium,Medium,15.9707546811657,Low
5,0,Low,Medium,Medium,High,59.99468033346857,Medium
1,2,Medium,Low,High,Medium,59.12022321854563,Medium
16,6,Medium,Low,Low,High,59.09709409919782,Medium
4,0,Medium,Low,Low,Low,27.49383549891397,Low
5,0,High,Medium,Medium,Medium,26.557694920378996,Low
11,3,Low,Low,Low,Medium,41.78335214348892,Medium
22,7,Low,Medium,Medium,Medium,89.52758278986366,High
20,1,Low,High,High,Medium,71.33088636488442,High
9,1,High,Medium,High,Medium,32.444542409104685,Medium
21,3,High,Low,Medium,High,56.33420144623865,Medium
20,2,Low,Low,High,High,79.30766690417903,High
5,1,Low,Low,Low,Low,24.820689279446082,Low
7,2,Medium,Low,Medium,Medium,26.205385553282674,Low
1,4,Medium,Low,Medium,High,86.53426469470898,High
11,2,Medium,Low,Low,Low,9.146930191985303,Low
12,3,High,Medium,Low,Low,21.394385541660565,Low
20,2,High,High,High,Low,53.39212644325255,Medium
6,4,High,High,High,Low,52.06171250302799,Medium
9,3,Medium,Low,Medium,High,46.20353221921666,Medium
12,2,Low,Medium,Low,Low,28.70973963232534,Low
16,1,Medium,Low,Medium,Medium,23.155822695761948,Low
20,1,Medium,Medium,High,Low,38.59937359073513,Medium
13,2,Low,Low,Medium,Low,17.79182552412857,Low
1,2,Low,High,Medium,High,100.0,High
21,2,Medium,High,High,Medium,58.679054929661916,Medium
10,0,Medium,Low,Medium,Low,7.152754876972652,Low
0,0,Medium,Medium,Medium,High,72.60650565322901,High
18,2,Low,Medium,Low,Low,31.149426204499743,Medium
20,1,Medium,Low,Medium,Low,25.71556044061991,Low
3,4,Low,Medium,Medium,Medium,86.42384313042592,High
18,3,Medium,Medium,Low,Low,29.793311878471847,Low
20,0,Medium,High,Medium,Medium,44.44955941661967,Medium
10,4,High,Medium,Low,Medium,38.078242458452394,Medium
7,3,High,Medium,Low,Low,10.319219285338036,Low
10,2,Medium,Medium,Medium,Medium,41.6113718449148,Medium
3,1,Medium,High,Low,Low,44.940783054434334,Medium
16,0,Medium,Low,High,Medium,25.244108002218034,Low
6,4,Low,Low,Low,Low,44.096075543923654,Medium
7,1,Medium,Medium,Medium,High,55.443615670360764,Medium
2,2,Medium,High,Low,High,82.0139921687186,High
21,4,Medium,Low,Low,Low,32.270759997515746,Medium
1,3,Low,Low,Medium,High,84.60862846276234,High
22,1,High,Low,High,Medium,52.00757278819439,Medium
14,0,Low,Medium,Medium,Medium,54.51603585332276,Medium
23,1,Low,High,High,High,100.0,High
21,3,High,Low,Low,Low,17.753308301824738,Low
21,2,High,Low,Low,Low,20.417505184860488,Low
4,0,Low,High,High,Low,54.29604849987261,Medium
23,2,High,Low,Medium,Low,33.63667603154242,Medium
0,3,Low,High,Medium,Low,71.16406926955331,High
3,1,Medium,Low,Low,Medium,45.48288333397965,Medium
14,3,Medium,Medium,Low,Low,31.268479706619026,Medium
19,1,Medium,Medium,Medium,Medium,43.43018281630332,Medium
18,4,Medium,Medium,High,Low,41.00640878178085,Medium
2,4,Low,High,Low,Low,74.95124251495693,High
19,0,Low,High,High,Low,41.80850970314125,Medium
10,0,Medium,Medium,Low,Medium,19.754171941475178,Low
16,3,Low,Low,Medium,High,58.34465992651701,Medium
12,1,High,Low,Low,Low,4.9793196681578795,Low
10,1,Medium,Low,Medium,Medium,22.770803934040394,Low
1,3,Low,High,Low,High,100.0,High
8,2,Medium,Medium,Low,High,45.303686885461865,Medium
1,0,Low,High,High,Medium,69.28936149138097,Medium
20,4,Low,High,Medium,Low,59.59440628238891,Medium
8,1,Medium,Medium,Medium,Low,17.357593282308276,Low
8,3,High,High,Low,Low,25.765145351335534,Low
7,2,Medium,High,High,Medium,48.885806934439366,Medium
16,2,Low,Medium,Medium,Low,40.14695755330605,Medium
0,1,Medium,Medium,High,Medium,60.99944172647999,Medium
10,1,Low,Medium,Low,Low,21.749252926754195,Low
7,2,Low,Low,Low,Low,23.71490580609301,Low
9,1,High,Medium,High,High,48.12156690475665,Medium
6,1,High,Low,Medium,High,51.52370457385234,Medium
2,0,Low,Low,High,Medium,63.0186682671709,Medium
2,1,Medium,High,Low,Low,49.71654848711788,Medium
17,3,High,Medium,Medium,High,60.626063589225964,Medium
4,3,Low,Low,High,Low,56.925024618661034,Medium
11,2,Low,Low,Medium,Medium,40.28328160964104,Medium
11,0,High,High,Medium,Low,15.739881124958288,Low
18,2,Medium,High,Low,Medium,43.52574895483456,Medium
5,4,Low,Low,Low,Medium,79.48148889442416,High
1,3,Low,High,Low,High,100.0,High
11,0,Low,Low,Medium,Medium,35.362524163122906,Medium
18,1,Medium,Medium,High,High,50.275794668668816,Medium
4,3,High,Medium,Medium,Medium,64.5998508343655,Medium
11,2,Medium,High,Medium,Medium,51.59176954362965,Medium
16,1,Medium,High,High,Low,39.017717243951424,Medium
16,3,Low,Low,Low,Low,22.875673607598454,Low
9,2,Low,Medium,High,Medium,50.16333937686937,Medium
22,1,Low,Low,High,High,77.80850839150095,High
16,2,High,Medium,Low,Low,16.55758456842951,Low
14,1,Medium,Medium,Low,Low,18.636417283692737,Low
11,2,Low,Low,Low,Low,26.300420519529744,Low
15,0,Medium,Low,High,High,40.72452625018243,Medium
23,3,High,Low,Low,Low,33.43917221538817,Medium
18,3,Medium,Medium,Medium,Low,28.97322042121417,Low
7,1,Low,Medium,Medium,Low,19.976130057126923,Low
20,2,Low,Low,High,Low,47.8724179661379,Medium
16,2,Low,High,High,Medium,61.20395557796508,Medium
22,0,High,Low,High,High,51.01508527982626,Medium
4,4,Medium,Medium,Low,Low,71.1194582916422,High
21,1,Medium,Medium,Low,Low,10.713743836968899,Low
